"town";"long";"lat"
"Bedwellty";-3.208;51.697
"Birmingham";-1.86;52.485
"Bradford";-1.75;53.788
"Bristol";-2.57;51.477
"Cardiff";-3.175;51.482
"Consett";-1.853;54.858
"Dalton.in.Furness";-3.172;54.16
"Halesworth";1.502;52.343
"Hastings";0.578;50.865
"Hull";-0.34;53.75
"Leeds";-1.538;53.805
"Lees";-2.068;53.537
"Liverpool";-2.942;53.417
"London";-0.105;51.517
"Manchester";-2.25;53.482
"Mold";-3.145;53.163
"Northwich";-2.518;53.257
"Nottingham";-1.16;52.967
"Oswestry";-3.048;52.858
"Sheffield";-1.467;53.383
