"town";"year";"pop";"births"
"Bedwellty";1940;28460;610
"Bedwellty";1941;29960;583
"Bedwellty";1942;28370;589
"Bedwellty";1943;27670;664
"Bedwellty";1944;28350;709
"Bedwellty";1945;28050;623
"Bedwellty";1946;28230;709
"Bedwellty";1947;28050;746
"Bedwellty";1948;28680;707
"Bedwellty";1949;28910;643
"Bedwellty";1950;28930;625
"Bedwellty";1951;28590;571
"Bedwellty";1952;28560;567
"Bedwellty";1953;28480;548
"Bedwellty";1954;28310;551
"Bedwellty";1955;28120;488
"Bedwellty";1956;28040;540
"Bedwellty";1957;28000;520
"Bedwellty";1958;28080;495
"Bedwellty";1959;28070;473
"Bedwellty";1960;28150;495
"Bedwellty";1961;27460;503
"Bedwellty";1962;27470;481
"Bedwellty";1963;27410;515
"Bedwellty";1964;27200;485
"Birmingham";1940;997900;17213
"Birmingham";1941;941370;15731
"Birmingham";1942;956000;18568
"Birmingham";1943;967030;20211
"Birmingham";1944;993310;22644
"Birmingham";1945;1001900;19859
"Birmingham";1946;1044600;22909
"Birmingham";1947;1072000;24142
"Birmingham";1948;1096100;21542
"Birmingham";1949;1106800;20221
"Birmingham";1950;1117900;18987
"Birmingham";1951;1110900;18524
"Birmingham";1952;1119000;18431
"Birmingham";1953;1118500;18687
"Birmingham";1954;1117700;18386
"Birmingham";1955;1111700;17860
"Birmingham";1956;1110800;18584
"Birmingham";1957;1103000;18976
"Birmingham";1958;1095000;19372
"Birmingham";1959;1091500;19399
"Birmingham";1960;1093160;20854
"Birmingham";1961;1110290;21757
"Birmingham";1962;1115080;22434
"Birmingham";1963;1115630;22580
"Birmingham";1964;1106130;22586
"Bradford";1940;271700;3685
"Bradford";1941;269470;3476
"Bradford";1942;264800;3994
"Bradford";1943;260300;4182
"Bradford";1944;261890;4678
"Bradford";1945;262660;4095
"Bradford";1946;279040;5458
"Bradford";1947;283200;6271
"Bradford";1948;288500;5422
"Bradford";1949;291600;5041
"Bradford";1950;294300;4960
"Bradford";1951;289800;4745
"Bradford";1952;288000;4596
"Bradford";1953;286600;4577
"Bradford";1954;286500;4634
"Bradford";1955;286400;4563
"Bradford";1956;286400;4798
"Bradford";1957;287000;4982
"Bradford";1958;287800;5006
"Bradford";1959;289100;5075
"Bradford";1960;289860;5494
"Bradford";1961;294210;5546
"Bradford";1962;296220;5783
"Bradford";1963;297040;5787
"Bradford";1964;298220;5837
"Bristol";1940;411400;6363
"Bristol";1941;359030;5253
"Bristol";1942;362200;6399
"Bristol";1943;370800;6965
"Bristol";1944;405530;7807
"Bristol";1945;414320;6959
"Bristol";1946;417090;8095
"Bristol";1947;425600;9080
"Bristol";1948;435000;7808
"Bristol";1949;439740;7501
"Bristol";1950;442600;7149
"Bristol";1951;441650;6813
"Bristol";1952;443900;6772
"Bristol";1953;444200;6977
"Bristol";1954;444900;6703
"Bristol";1955;442500;6534
"Bristol";1956;440500;6704
"Bristol";1957;439600;6958
"Bristol";1958;438000;7010
"Bristol";1959;436600;6647
"Bristol";1960;433750;6876
"Bristol";1961;436000;7128
"Bristol";1962;434260;7289
"Bristol";1963;433920;7560
"Bristol";1964;432070;7572
"Cardiff";1940;226100;3746
"Cardiff";1941;214010;3369
"Cardiff";1942;211300;3707
"Cardiff";1943;208100;3894
"Cardiff";1944;215130;4514
"Cardiff";1945;217410;4026
"Cardiff";1946;224450;4977
"Cardiff";1947;231080;5291
"Cardiff";1948;240600;4835
"Cardiff";1949;243300;4760
"Cardiff";1950;244600;4457
"Cardiff";1951;243470;4303
"Cardiff";1952;244800;4387
"Cardiff";1953;246600;4436
"Cardiff";1954;248000;4495
"Cardiff";1955;248400;4200
"Cardiff";1956;249800;4450
"Cardiff";1957;251300;4632
"Cardiff";1958;253300;4611
"Cardiff";1959;254200;4515
"Cardiff";1960;255470;4859
"Cardiff";1961;256900;5018
"Cardiff";1962;260160;4930
"Cardiff";1963;260640;5280
"Cardiff";1964;260340;5106
"Consett";1940;37070;676
"Consett";1941;36980;615
"Consett";1942;36210;671
"Consett";1943;35320;311
"Consett";1944;35050;725
"Consett";1945;35310;690
"Consett";1946;36760;754
"Consett";1947;38140;774
"Consett";1948;38820;737
"Consett";1949;38900;711
"Consett";1950;39130;687
"Consett";1951;39020;651
"Consett";1952;38840;649
"Consett";1953;38740;654
"Consett";1954;38830;585
"Consett";1955;38770;638
"Consett";1956;38770;590
"Consett";1957;38780;645
"Consett";1958;38890;682
"Consett";1959;38940;642
"Consett";1960;39080;645
"Consett";1961;38720;698
"Consett";1962;38780;634
"Consett";1963;38660;656
"Consett";1964;38000;622
"Dalton.in.Furness";1940;10190;161
"Dalton.in.Furness";1941;10700;188
"Dalton.in.Furness";1942;10950;190
"Dalton.in.Furness";1943;10720;186
"Dalton.in.Furness";1944;10610;198
"Dalton.in.Furness";1945;10460;165
"Dalton.in.Furness";1946;10550;183
"Dalton.in.Furness";1947;10270;218
"Dalton.in.Furness";1948;10480;181
"Dalton.in.Furness";1949;10570;192
"Dalton.in.Furness";1950;10560;156
"Dalton.in.Furness";1951;10290;160
"Dalton.in.Furness";1952;10340;163
"Dalton.in.Furness";1953;10280;135
"Dalton.in.Furness";1954;10300;151
"Dalton.in.Furness";1955;10320;146
"Dalton.in.Furness";1956;10330;152
"Dalton.in.Furness";1957;10300;184
"Dalton.in.Furness";1958;10290;158
"Dalton.in.Furness";1959;10240;162
