# derived from measlesUKUS.csv from 
# https://datadryad.org/resource/doi:10.5061/dryad.r4q34
# US data come from Project Tycho.
# England and Wales data are the city of London plus the largest 39 cities that were more than 50km from London.
# cases is reported measles cases per biweek
# births is estimated recruitment of susceptibles per biweek
"year";"city";"cases";"pop";"births"
1944;"LONDON";180;2453642.319;1702.729265
1944.038462;"LONDON";271;2443251.37;1675.561132
1944.076923;"LONDON";423;2434526.681;1651.419491
1944.115385;"LONDON";452;2428999.778;1635.157957
1944.153846;"LONDON";518;2424470.223;1620.71078
1944.192308;"LONDON";530;2419727.129;1603.803779
1944.230769;"LONDON";658;2416005.326;1586.682085
1944.269231;"LONDON";556;2414421.417;1573.44783
1944.307692;"LONDON";420;2414809.268;1565.870683
1944.346154;"LONDON";420;2415960.401;1561.752986
1944.384615;"LONDON";430;2417949.526;1559.158223
1944.423077;"LONDON";513;2421686.465;1557.676184
1944.461538;"LONDON";338;2426689.113;1558.498998
1944.5;"LONDON";260;2434719.078;1562.764144
1944.538462;"LONDON";163;2444456.527;1570.141298
1944.576923;"LONDON";83;2453557.137;1578.432934
1944.615385;"LONDON";78;2461061.094;1585.88729
1944.653846;"LONDON";48;2469215.264;1594.530518
1944.692308;"LONDON";43;2480927.041;1607.587815
1944.730769;"LONDON";56;2496974.494;1626.481405
1944.769231;"LONDON";82;2514360.506;1647.822345
1944.807692;"LONDON";145;2529284.828;1666.753284
1944.846154;"LONDON";114;2540995.743;1681.899471
1944.884615;"LONDON";175;2553205.572;1697.957789
1944.923077;"LONDON";207;2570108.553;1720.514855
1944.961538;"LONDON";277;2587729.129;1744.389286
1945;"LONDON";404;2610730.756;1776.02753
1945.038462;"LONDON";671;2634621.925;1809.320135
1945.076923;"LONDON";1387;2654363.171;1837.151607
1945.115385;"LONDON";1280;2669470.501;1858.613392
1945.153846;"LONDON";1963;2684833.311;1880.595241
1945.192308;"LONDON";2570;2705617.395;1910.53666
1945.230769;"LONDON";3294;2732028.627;1948.928046
1945.269231;"LONDON";2965;2758764.714;1988.12442
1945.307692;"LONDON";1873;2780328.451;2019.997807
1945.346154;"LONDON";1644;2796554.449;2044.118621
1945.384615;"LONDON";1433;2812803.847;2068.410437
1945.423077;"LONDON";980;2834438.652;2100.93412
1945.461538;"LONDON";754;2855988.518;2133.547614
1945.5;"LONDON";451;2882695.706;2174.285831
1945.538462;"LONDON";282;2909066.481;2214.83577
1945.576923;"LONDON";174;2929808.951;2246.997399
1945.615385;"LONDON";132;2945140.867;2270.916956
1945.653846;"LONDON";109;2960201.794;2294.565057
1945.692308;"LONDON";82;2979881.61;2325.674066
1945.730769;"LONDON";80;3003684.431;2363.680301
1945.769231;"LONDON";88;3026584.032;2400.646884
1945.807692;"LONDON";79;3044096.118;2429.260729
1945.846154;"LONDON";46;3056757.06;2450.146326
1945.884615;"LONDON";77;3068913.592;2470.41086
1945.923077;"LONDON";76;3084391.256;2496.512434
1945.961538;"LONDON";94;3098941.869;2521.438923
1946;"LONDON";162;3115678.985;2550.730413
1946.038462;"LONDON";209;3130944.657;2578.076784
1946.076923;"LONDON";458;3142034.949;2598.402114
1946.115385;"LONDON";706;3149784.238;2612.825536
1946.153846;"LONDON";761;3156986.163;2626.423553
1946.192308;"LONDON";987;3165897.814;2643.467368
1946.230769;"LONDON";1339;3175898.701;2662.883809
1946.269231;"LONDON";1885;3184840.148;2680.427336
1946.307692;"LONDON";2110;3191209.141;2692.976155
1946.346154;"LONDON";1856;3195595.982;2701.597569
1946.384615;"LONDON";1870;3199620.677;2709.436528
1946.423077;"LONDON";2040;3204535.566;2718.844772
1946.461538;"LONDON";2058;3208953.397;2727.013358
1946.5;"LONDON";1529;3213830.043;2735.431668
1946.538462;"LONDON";970;3218140.282;2742.07297
1946.576923;"LONDON";726;3221198.736;2745.976735
1946.615385;"LONDON";510;3223314.677;2748.156087
1946.653846;"LONDON";286;3225277.678;2749.590621
1946.692308;"LONDON";171;3227727.315;2750.518238
1946.730769;"LONDON";162;3230566.322;2749.967543
1946.769231;"LONDON";188;3233261.524;2747.722046
1946.807692;"LONDON";224;3235366.03;2744.582137
1946.846154;"LONDON";314;3236946.921;2741.513338
1946.884615;"LONDON";356;3238557.3;2737.734402
1946.923077;"LONDON";460;3240777.526;2731.759284
1946.961538;"LONDON";482;3243128.56;2724.666642
1947;"LONDON";586;3246307.601;2714.278086
1947.038462;"LONDON";796;3249737.867;2702.507815
1947.076923;"LONDON";1065;3252696.567;2691.982752
1947.115385;"LONDON";1241;3255821.61;2680.587586
1947.153846;"LONDON";1230;3259098.645;2668.389448
1947.192308;"LONDON";1012;3262513.372;2655.455201
1947.230769;"LONDON";981;3266049.667;2641.858639
1947.269231;"LONDON";1015;3269694.655;2627.66111
1947.307692;"LONDON";771;3273431.661;2612.938667
1947.346154;"LONDON";1031;3277247.918;2597.752063
1947.384615;"LONDON";1093;3281127.175;2582.175799
1947.423077;"LONDON";1196;3285055.191;2566.276404
1947.461538;"LONDON";1076;3289017.742;2550.120299
1947.5;"LONDON";1029;3292998.504;2533.782477
1947.538462;"LONDON";828;3296984.838;2517.322835
1947.576923;"LONDON";669;3300960.413;2500.816437
1947.615385;"LONDON";372;3304911.01;2484.329654
1947.653846;"LONDON";171;3308822.4;2467.928863
1947.692308;"LONDON";84;3312678.29;2451.689099
1947.730769;"LONDON";71;3316465.976;2435.670309
1947.769231;"LONDON";113;3320168.706;2419.949513
1947.807692;"LONDON";108;3323773.696;2404.586932
1947.846154;"LONDON";188;3327264.748;2389.657276
1947.884615;"LONDON";241;3330627.59;2375.227076
1947.923077;"LONDON";305;3333847.903;2361.363029
1947.961538;"LONDON";248;3336909.688;2348.139083
1948;"LONDON";478;3340510.865;2332.527521
1948.038462;"LONDON";624;3343885.497;2317.841063
1948.076923;"LONDON";1160;3346379.248;2306.942404
1948.115385;"LONDON";1532;3348145.241;2299.199581
1948.153846;"LONDON";2235;3349810.436;2291.874159
1948.192308;"LONDON";2973;3351903.457;2282.634318
1948.230769;"LONDON";3302;3354309.706;2271.956465
1948.269231;"LONDON";2507;3356520.153;2262.09321
1948.307692;"LONDON";2037;3358143.248;2254.808403
1948.346154;"LONDON";2080;3359288.169;2249.647483
1948.384615;"LONDON";2128;3360365.796;2244.768479
1948.423077;"LONDON";1901;3361718.23;2238.618052
1948.461538;"LONDON";1635;3362977.585;2232.86015
1948.5;"LONDON";1245;3364430.262;2226.177853
1948.538462;"LONDON";1009;3365775.646;2219.953284
1948.576923;"LONDON";717;3366777.499;2215.293931
1948.615385;"LONDON";378;3367494.664;2211.948022
1948.653846;"LONDON";269;3368181.851;2208.733912
1948.692308;"LONDON";171;3369064.789;2204.5971
1948.730769;"LONDON";176;3370122.811;2199.635276
1948.769231;"LONDON";164;3371149.407;2194.825291
1948.807692;"LONDON";242;3371956.921;2191.052894
1948.846154;"LONDON";216;3372560.603;2188.242241
1948.884615;"LONDON";262;3373167.284;2185.430142
1948.923077;"LONDON";333;3373985.954;2181.655849
1948.961538;"LONDON";290;3374824.258;2177.819617
1949;"LONDON";622;3375914.022;2172.879551
1949.038462;"LONDON";844;3377048.017;2167.772645
1949.076923;"LONDON";1305;3377982.652;2163.565197
1949.115385;"LONDON";1554;3378694.235;2160.350329
1949.153846;"LONDON";1912;3379412.13;2157.084673
1949.192308;"LONDON";2265;3380373.002;2152.669622
1949.230769;"LONDON";3010;3381570.399;2147.061032
1949.269231;"LONDON";3334;3382752.706;2141.381453
1949.307692;"LONDON";2711;3383677.362;2136.796028
1949.346154;"LONDON";2216;3384355.162;2133.341744
1949.384615;"LONDON";2058;3385013.694;2129.877306
1949.423077;"LONDON";1884;3385860.372;2125.256069
1949.461538;"LONDON";1521;3386663.705;2120.64055
1949.5;"LONDON";1152;3387593.261;2114.898276
1949.538462;"LONDON";682;3388436.811;2109.201914
1949.576923;"LONDON";496;3389033.729;2104.696584
1949.615385;"LONDON";316;3389435.463;2101.351319
1949.653846;"LONDON";212;3389787.165;2098.048367
